route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
SILVER,SV1 UIF,[@6.0.28932250@][1][1654525597845]/57__SV1_UIF,North to PAR,,0,SV1 UIF,[@6.0.28932250@]1,1,1
SILVER LATE NIGHT,SV1 UIMTH,[@12.0.42230752@][4][1246897581031]/20__SV1_UIMTH,South to PAR,,1,SV1 UIMTH,SILVER LATE 30,1,1
PINK,P2 NOSCH MF,[@2.0.81838518@][12][1430161301181]/27__P2_NOSCH_MF,B to Round Barn Road,,1,P2 NOSCH MF,[@2.0.81838518@]103,1,1
TEAL EVENING SATURDAY,T2 UI SA,[@124.0.92279199@][1484345597711]/38__T2_UI_SA,West to Illinois Terminal,,1,T2 UI SA,[@124.0.92279199@]TEAL EVENING 12,1,1
GREEN,GN5 MF,5GN575__GN5_MF,West to Round Barn Road - Holiday Park,,1,GN5 MF,5WPM->LSE,1,1
SILVER,SV4 SCH UIMTH,[@6.0.28932250@][1][1654213811517]/48__SV4_SCH_UIMTH,North to Lincoln Square,,0,SV4 SCH UIMTH,[@6.0.28932250@]1,1,1
ILLINI EVENING SATURDAY,I3 UISA,[@124.0.92260187@][1484328831455]/256__I3_UISA,North to Lincoln & Killarney,,0,I3 UISA,[@124.0.92260187@]220N ILLINI 10,1,1
ILLINI,I1 UIMF,[@7.0.41200832@][1][1238430123625]/53__I1_UIMF,North to Lincoln & Anthony,,0,I1 UIMF,[@15.0.63192528@]43,1,1
GREEN SATURDAY,GN3 UISA,[@7.0.41202550@][4][1248723584250]/1__GN3_UISA,West to Round Barn Road,,1,GN3 UISA,[@15.0.68513015@]219,1,1
ILLINI LIMITED,I1 NONUI EVE,[@6.0.14327389@][1][1622146809102]/12__I1_NONUI_EVE,North to Lincoln & Killarney,,0,I1 NONUI EVE,[@6.0.14327389@]10,1,1
SILVER LIMITED SATURDAY,SV1 NONUI SA,[@15.0.67916770@][1][1363722440092]/53__SV1_NONUI_SA,North to Lincoln Square,,0,SV1 NONUI SA,[@15.0.67916770@]2,1,1
GREEN,GN9 UEO,[@14.0.46304650@][3][1272038578968]/0__GN9_UEO,East to Main & Brady,,0,GN9 UEO,[@15.0.68508734@]66,1,1
ILLINI LIMITED,I1 NONUI EVE,[@6.0.14327389@][1][1622146809102]/18__I1_NONUI_EVE,North to Lincoln & Anthony,,0,I1 NONUI EVE,[@6.0.14327389@]6,1,1
SILVER EVENING,SV4 SCH UIF,[@12.0.42224456@][4][1246897225718]/26__SV4_SCH_UIF,South to PAR,,1,SV4 SCH UIF,SILVER 121,1,1
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/1__SV2_UISA,South to Vet-Med,,1,SV2 UISA,[@124.0.92284627@]130S SILVER EVENING 3,1,1
LAVENDER SATURDAY,L2 SA,[@15.0.63188981@][2][1334072086256]/38__L2_SA,South to Illinois Terminal,,1,L2 SA,30SBB->IT,1,1
